Frase	Grupo	Palavra Em Destaque No Grupo	Palavras Frequentes No Grupo
Olá, gostaria de acompanhar on line os cursos da Professora Lucia Helena.	0	professora	helena,gostaria,lucia
Onde posso ver e ouvir os cursos da Prof.a Lucia Helena?	0	professora	helena,gostaria,lucia
Gostaria muito de participar  do curso , que a professora Lucia  Helena  vai dar , sobre os clássicos  indianos?	0	professora	helena,gostaria,lucia
Olá! Por favor gostaria de informações sobre palestras da Prof Lucia Helena	0	professora	helena,gostaria,lucia
Olá! Acabei de assistir a uma palestra da Prof. Lucia Helena Galvão no YouTube, gostei e comprei um Plano anual via QR CODE, como acesso?	0	professora	helena,gostaria,lucia
Gostaria de saber qual editor do Caibalion que a professora Lucia prefere pois quero comprar e tb o que tem os comentários dela.	0	professora	helena,gostaria,lucia
Assim que possivel, gostaria de informações sobre o Curso de Filosofia à Maneira Clássica e cursos com a Professora Lucia Helena	0	professora	helena,gostaria,lucia
Olá! Gostaria de comprar o curso da professora Helena  da filosofia indiana. O tempo para pagamento da minha inscrição acabou e nao me consigo inscrever de novo.	0	professora	helena,gostaria,lucia
Gostaria de saber quais unidade do Df estão iniciando turma? E se em algum a professora Lucia Helena dá aula?	0	professora	helena,gostaria,lucia
Olá, Helena! Sou seguidora da Maria Helena Galvão. As suas aulas são simplesmente geniais. Gostaria de participar de uma aula ao vivo. É possível?	0	professora	helena,gostaria,lucia
Comprei o curso através de um vídeo que vi no YouTube com a Lúcia Helena. Gostaria de confirmar primeiro, antes de abrir através da mensagem que recebi por e-mail.	0	professora	helena,gostaria,lucia
Olá! Gostaria de saber sobre cursos on-line com a professora Lucia Helena Galvão.	0	professora	helena,gostaria,lucia
Ontem comprei o curso através de um vídeo que vi no YouTube com a Lúcia Helena. Gostaria de confirmar primeiro antes de abrir através da mensagem que recebi por e-mail.	0	professora	helena,gostaria,lucia
Meu nome é Judite e desejo saber sobre o novo curso da professora  Lucia Helena Galvão.	0	professora	helena,gostaria,lucia
Olá! Ainda está acontecendo um curso sobre o ramayana  com  palestras extras da prof Lucia?	0	professora	helena,gostaria,lucia
Gostaria de uma análise desse material pela professora Lucia Helena . Gratidão 🙏.	0	professora	helena,gostaria,lucia
Gostaria de informações referente ao curso com a professora Helena e sobre voluntariado. Muito obrigado.	0	professora	helena,gostaria,lucia
Sim estou acompanhando a prof Lúcia Helena Galvão e estou muito feliz com o aprendizado ,obrigada	0	professora	helena,gostaria,lucia
Olá!Meu nome e Cristiane Lopes e tenho interesse de fazer cursos com vcs .Sou de Cerqueira César /sp .	0	professora	helena,gostaria,lucia
Assisti o vídeo da professora Lucia Helena com o Américo / editora Polar e gostaria muito de comprar os dois livros indicado por eles.	0	professora	helena,gostaria,lucia
Cursos com a professora Lúcia Helena, online	0	professora	helena,gostaria,lucia
Este watssap é da Profa. Lúcia Helena? Como faço para fazer curso com ela. Estou vendo agora , o Caibalion. Estou amando. Queria informaçoes sobre os cursos. Grata.	0	professora	helena,gostaria,lucia
Meu nome é Lilian e gostaria de saber sobre cursos online que vocês oferecem.	0	professora	helena,gostaria,lucia
Fiz tudo o que vc propôs no endereco sugerido e nao tive resposta	1	ainda	nao,resposta,agora
Até  agora nao obtive nenhuma resposta.	1	ainda	nao,resposta,agora
Ainda não me atenderam por isso não posso opininar sobre grau de satisfação	1	ainda	nao,resposta,agora
Porque nao recebo nada vosso? Maria clara  e estou	1	ainda	nao,resposta,agora
Até  agora nada	1	ainda	nao,resposta,agora
O tempo de  responder que pode melhorar mas achei excelente a ideia de colaboradores estarem respondendo e foi objetivo	1	ainda	nao,resposta,agora
Ainda não sei.	1	ainda	nao,resposta,agora
Policiais federais civis e militares invadiram o congresso nacional hoje e descobriram um grande golpe que vai ser dado em todos os brasileiros e, a mídia ficou caladinha	2	previdência	vai,todos,grande
Mobilização em Brasília contra a PEC da previdência	2	previdência	vai,todos,grande
R$6 milhões, é o valor que vai receber cada deputado que votar pela Reforma da Previdência que corta a aposentadoria dos pensionista do INSS, vão declarar falência pois o dinheiro vai ser usado para outros fins irão culpar a pandemia e o presidente BOLSONARO depois do Brasil entrar em caos, Estão querendo tirar o zap do ar pra que essa mensagem não viralize até eles tomarem uma providencia! VAMOS VIRALIZAR! MANDE PRA TODOS SEUS CONTATOS!	2	previdência	vai,todos,grande
A Globo está tentando esconder a todo custo, mas o zap vai divulgando...	2	previdência	vai,todos,grande
Estou enviando como recebi, o STF vai quebrar os cofres públicos só para atingir o presidente! Notícia vazada da inteligência de uma das forças polícias de investigação! Os aposentados terão seus salários cortados por um tempo e todos os pensionistas do Brasil , fiquem atentos !!!!	2	previdência	vai,todos,grande
Deixo também aqui registrado *meu grande apreço pelo ex-presidente Lula, pela ex-presidente Dilma, pelo ex-ministro Guido Mantega e por todos os integrantes do Partido dos Trabalhadores*. 	2	previdência	vai,todos,grande
Curso  online a distância	3	curso	curso,online,distância
Curso	3	curso	curso,online,distância
Curso nova acrópole	3	curso	curso,online,distância
Cursos online	3	curso	curso,online,distância
Qual próximo passo..	3	curso	curso,online,distância
Ensino a distancia	3	curso	curso,online,distância
Estudos início	3	curso	curso,online,distância
Inscrição curso	3	curso	curso,online,distância
Curso	3	curso	curso,online,distância
Curso de oratória	3	curso	curso,online,distância
Dias do curso;	3	curso	curso,online,distância
Curso que explica o Cabalion	3	curso	curso,online,distância
BYE,  BYE,  OTÁRIOS. BRASILEIROS.	4	brasileiros	brasileiros,bye,otários
*“ PREZADOS BRASILEIROS CLIENTES* e *AMIGOS :*	4	brasileiros	brasileiros,bye,otários
*AOS BRASILEIROS CRENTES* e *HONESTOS, FIQUEM* com *DEUS*, pois *SOMENTE ELE MESMO* para *SALVÁ-LOS.*	4	brasileiros	brasileiros,bye,otários
*“  O expert  ”*	4	brasileiros	brasileiros,bye,otários
*PARTICIPE DO SORTEIO*	4	brasileiros	brasileiros,bye,otários
Gostaríamos de agradecer a *você, inocente eleitor* do *Partido* dos *Trabalhadores*, que *indiretamente ajudou um simples açougueiro do interior de Goiás a se tornar dono do maior grupo de alimentos de origem animal do mundo, em menos de 8 anos.*	5	agradecer	bndes,grupo,ter
*Sem vocês jamais teríamos conseguido um financiamento de 8 bilhões de reais do BNDES, com juros módicos,* mas que *não pagamos porque o BNDES concordou em transformar a dívida em ações do GRUPO JBS* no *BRASIL.*	5	agradecer	bndes,grupo,ter
Não poderia deixar também de lembrar do *amigo* e *talentoso ator Tony Ramos, que topou participar da nossa campanha publicitária, emprestando sua imagem de reputação indiscutivelmente confiável.*	5	agradecer	bndes,grupo,ter
Por fim, *agradecemos aos Ministros do Supremo Tribunal Federal,* por ter evitado que *nossa empresa* e seus *proprietários fossem criminalizados* por *crimes contra o uso* de *dinheiro público* do *BNDES* em *empréstimos milionários, mesmo não estando aptos*, pela *falta* de *Certidões Negativas* de *Débitos Fiscais Federais, Trabalhistas* e *outras.*	5	agradecer	bndes,grupo,ter
poxa, logo vocês que tanto falam sobre não ser corrompido, não ter medo...	5	agradecer	bndes,grupo,ter
Olá	6	olá	olá,helena,elzide
Olá! Sou a Elzide 	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá! Me chamo Cesar.	6	olá	olá,helena,elzide
Sucesso!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá! Helena 	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
 Oi...	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Serguianos, saudações!	6	olá	olá,helena,elzide
Tchau	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Ola	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Oiiii	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá Player 🔥	6	olá	olá,helena,elzide
Olá! Sou selma	6	olá	olá,helena,elzide
Olá IBest.	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Olá..	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Bia tarde!	6	olá	olá,helena,elzide
Olá! Helena!	6	olá	olá,helena,elzide
Olá!	6	olá	olá,helena,elzide
Tenho disponibilidade nos horários das 17 - 20 horas segundas e quintas.	7	horários	horas,horários,dia
Também pela manhã as terças e quartas .	7	horários	horas,horários,dia
Dias e horários das aulas também, por favor.	7	horários	horas,horários,dia
Nossa intenção é uma palestra de 01h no dia 15/12/21, entre 16 e 18 horas.	7	horários	horas,horários,dia
Tempo de duração de todo curso e horas por dia;	7	horários	horas,horários,dia
Eu pretendo fazer peças ou ver peça teatral Helena blavastsky,  poderia me ajudar	8	teatral	peça,helena,teatral
Peça  teatral Helena blavastsky	8	teatral	peça,helena,teatral
Se eu moro en El Salvador, a hora do teatro qual seria?	8	teatral	peça,helena,teatral
É que acabei de assistir a peça e a Profa Lucia Helena falou depois no bate papo que o texto da peça estava disponível para quem quisesse acessar mas eu não consegui registraram o local. Vcs poderiam me indicar, por cortesia?	8	teatral	peça,helena,teatral
- Quantos filósofos há na Nova Acrópole?	9	filósofos	quantos,filósofos,nova
- Quantos filósofos há na Nova Acrópole?	9	filósofos	quantos,filósofos,nova
Pode parecer loucura mas Sócrates não morreu e foi clonado?	9	filósofos	quantos,filósofos,nova
- Quantos são brancos?	10	brancos	quantos,brancos,negros
- Quantos são negros?	10	brancos	quantos,brancos,negros
- Quantos são brancos?	10	brancos	quantos,brancos,negros
- Quantos são negros?	10	brancos	quantos,brancos,negros
- Dentre os citados vocês podem destacar um filósofo e sua contribuição intelectual ou ação propriamente dita?	11	filósofo	dentre,citados,podem
- Dentre os citados vocês podem destacar um filósofo e sua contribuição intelectual ou ação propriamente dita?	11	filósofo	dentre,citados,podem
Podemos pensar em participações dos idealizadores da editora ou mesmo dos próprios autores.	11	filósofo	dentre,citados,podem
Imgino vc fazendo uma apresentação desta natureza sobre Fernando Pessoa / Alberto Caeiro!	11	filósofo	dentre,citados,podem
Os temas das suas palestras são sensacionais; você consegue, com maestria, fazer desfilar as ideias dos grandes pensadores de forma muito prazerosa e facilitadora.. Parabéns pela missão.!🙏🏻🌹	11	filósofo	dentre,citados,podem
Ficarei muito agradecido se obtiver uma resposta. Caso não seja possível sou muito grato pela Nova Acrópole de qualquer forma.	12	nova	nova,acrópole,ficarei
Ficarei muito agradecido se obtiver uma resposta. Caso não seja possível sou muito grato pela Nova Acrópole de qualquer forma.	12	nova	nova,acrópole,ficarei
acompanho a Nova Acrópole pelo youtube há algum tempo e jamais imaginei que tem uma em THE.	12	nova	nova,acrópole,ficarei
Eu perguntei s Nova Acrópole há duas semanas e ainda ninguém respondeu 👆🏻👇🏻	12	nova	nova,acrópole,ficarei
Olá boa noite. Meu nome é Valter e sou estudante de filosofia.  Estou fazendo um trabalho que consiste em uma pesquisa na região onde moro. Se vocês puderem me responder ficarei muito grato. As perguntas são:	13	olá	olá,boa,noite
Olá boa noite. Meu nome é Valter e sou estudante de filosofia.  Estou fazendo um trabalho que consiste em uma pesquisa na região onde moro. Se vocês puderem me responder ficarei muito grato. As perguntas são:	13	olá	olá,boa,noite
- Destes quantos são homens e quantos são mulheres?	14	mulheres	quantos,destes,homens
- Destes quantos são homens e quantos são mulheres?	14	mulheres	quantos,destes,homens
- Há indígenas?	15	indígenas	indígenas,representado,deus
- Há indígenas?	15	indígenas	indígenas,representado,deus
Como era representado a Deus no mito da criação pelos índios de dessâna?	15	indígenas	indígenas,representado,deus
- Dentre estes há alguém que de alguma forma se sente perseguido por algum tipo de preconceito?	16	alguma	dentre,alguém,alguma
- Dentre estes há alguém que de alguma forma se sente perseguido por algum tipo de preconceito?	16	alguma	dentre,alguém,alguma
1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15	17	transmita	transmita
Transmita para 13	17	transmita	transmita
1-2-6-7-8-9-10-11-13	17	transmita	transmita
Aguardo contato.	18	aguardo	aguardo,contato,pretendo
Aguardo	18	aguardo	aguardo,contato,pretendo
Pretendo assistir	18	aguardo	aguardo,contato,pretendo
A minha expressão 	18	aguardo	aguardo,contato,pretendo
Grata pela atençao	18	aguardo	aguardo,contato,pretendo
Quero	18	aguardo	aguardo,contato,pretendo
No aguardo	18	aguardo	aguardo,contato,pretendo
Aguardo informações	18	aguardo	aguardo,contato,pretendo
No aguardo.	18	aguardo	aguardo,contato,pretendo
Fico no aguardo.	18	aguardo	aguardo,contato,pretendo
Maria Teresa	19	maria	maria,mg,teresa
Rosacruz....maçonaria...teosofia	19	maria	maria,mg,teresa
Luciana	19	maria	maria,mg,teresa
Cristiane MG	19	maria	maria,mg,teresa
Ana Marcia Minete	19	maria	maria,mg,teresa
Ester MG	19	maria	maria,mg,teresa
Shirley - Mato Grosso	19	maria	maria,mg,teresa
Maria	19	maria	maria,mg,teresa
Tudo bem? 	20	bem	tudo,bem,bom
Bom di	20	bem	tudo,bem,bom
Olá, tudo bem?	20	bem	tudo,bem,bom
Olá! tudo bem?	20	bem	tudo,bem,bom
Tudo bom?	20	bem	tudo,bem,bom
Olá, tudo bem? 	20	bem	tudo,bem,bom
Oi professora como está?	20	bem	tudo,bem,bom
Ta bom	20	bem	tudo,bem,bom
Olá! Como você está?	20	bem	tudo,bem,bom
Tudo bem?😃	20	bem	tudo,bem,bom
TD bem? 	20	bem	tudo,bem,bom
Tudo certo! Obrigada.	20	bem	tudo,bem,bom
Como esta?	20	bem	tudo,bem,bom
Bem haja!	20	bem	tudo,bem,bom
Tudo de bom para si. 	20	bem	tudo,bem,bom
?	21	pergunta	obgada,fantástico,pergunta
.	21	pergunta	obgada,fantástico,pergunta
?	21	pergunta	obgada,fantástico,pergunta
?	21	pergunta	obgada,fantástico,pergunta
Até	21	pergunta	obgada,fantástico,pergunta
Obgada	21	pergunta	obgada,fantástico,pergunta
Fantástico. 	21	pergunta	obgada,fantástico,pergunta
☺️	21	pergunta	obgada,fantástico,pergunta
pergunta:	21	pergunta	obgada,fantástico,pergunta
????????????	21	pergunta	obgada,fantástico,pergunta
.	21	pergunta	obgada,fantástico,pergunta
Que TRISTEZA!	21	pergunta	obgada,fantástico,pergunta
e @giselegracieimperial 	21	pergunta	obgada,fantástico,pergunta
lógico	21	pergunta	obgada,fantástico,pergunta
Que material vou receber	22	conteúdo	divulgação,conteúdo,material
Divulgação de conteúdo	22	conteúdo	divulgação,conteúdo,material
Divulgação	22	conteúdo	divulgação,conteúdo,material
Lamentável 😳 o lado bom é que o conteúdo é ótimo 🥰	22	conteúdo	divulgação,conteúdo,material
Sou assinante e não estou conseguindo encontrar alguns conteúdos	22	conteúdo	divulgação,conteúdo,material
Palestra	23	palestra	palestra,hoje,palestras
Palestra	23	palestra	palestra,hoje,palestras
Palestras	23	palestra	palestra,hoje,palestras
Palestra de hoje	23	palestra	palestra,hoje,palestras
Palestra dos Essênios	23	palestra	palestra,hoje,palestras
Palestra	23	palestra	palestra,hoje,palestras
Palestra de hoje	23	palestra	palestra,hoje,palestras
Gostaria de saber se existe programação aberta ao público..?	24	previsão	previsão,curso,alguma
Tem previsão do curso de oratória?	24	previsão	previsão,curso,alguma
Tem previsão pra data do início do curso Habilidades para vida pra jovens, no lago sul?	24	previsão	previsão,curso,alguma
Olá! Gostaria de saber sobre a sede na cidade de Caruaru, tem alguma previsão?	24	previsão	previsão,curso,alguma
Informações sobre o curso de oratória de vocês?	24	previsão	previsão,curso,alguma
Existe previsão para uma sede no estado de Sergipe?	24	previsão	previsão,curso,alguma
Alguma previsão de escola em Bauru/SP?	24	previsão	previsão,curso,alguma
Os cursos estão indisponíveis para venda. Alguma previsão?	24	previsão	previsão,curso,alguma
Meu nome é Kátia Belickas.	25	chamo	nome,chamo,olá
Meu nome é Helena	25	chamo	nome,chamo,olá
Me chamo Gorete	25	chamo	nome,chamo,olá
Meu nome é janaina	25	chamo	nome,chamo,olá
Juliana	25	chamo	nome,chamo,olá
Giulia Aguiar	25	chamo	nome,chamo,olá
Meu nome	25	chamo	nome,chamo,olá
Me chamo Rosângela Pereira Pitrez	25	chamo	nome,chamo,olá
Olá! Me chamo Simone. 	25	chamo	nome,chamo,olá
Olá! meu nome é José, gostaria de algumas informações.	25	chamo	nome,chamo,olá
Meu nome é Viviane 	25	chamo	nome,chamo,olá
Meu nome é Angeline. Cidade: Aracaju, estado se Sergipe	25	chamo	nome,chamo,olá
Meu nome é Maira	25	chamo	nome,chamo,olá
Meu nome é Flor	25	chamo	nome,chamo,olá
Moro  planalto o meu nome é gani	25	chamo	nome,chamo,olá
Se tiver vontade ouça 💥✨🪐💫🌻	26	ouça	vontade,ouça,conheça
Conheça os Pacotes que só a Neo Sound Gravações pode Oferecer pra Vc 	26	ouça	vontade,ouça,conheça
Se você quiser posso parar com isso	26	ouça	vontade,ouça,conheça
Olá! Helena! Gostaria de saber mais informações sobre o curso presencial.  Poderia fazer em.Botafogo mas preciso saber dia e horário	27	cursos	gostaria,saber,sobre
Olá. Eu gostaria de saber sobre cursos e palestras presenciais em Ribeirão Preto. Obrigado.	27	cursos	gostaria,saber,sobre
Cursos e palestras em Ribeirão Preto	27	cursos	gostaria,saber,sobre
Olá! Bom dia. Eu gostaria de saber sobre cursos e palestras presenciais em Ribeirão Preto.  Obrigado.	27	cursos	gostaria,saber,sobre
Não há ninguém para me dar informações sobre curso em Ribeirão Preto?	27	cursos	gostaria,saber,sobre
Meu nome é Antonio e gostaria de saber se tem alguma programação de palestra presencial para hoje à noite. Não consegui identificar nenhuma no site!!	27	cursos	gostaria,saber,sobre
Olá! Gostaria de saber sobre datas de curso presencial em Recife.	27	cursos	gostaria,saber,sobre
E quero informações sobre os cursos oferecidos na unidade de Ponta Negra, Natal	27	cursos	gostaria,saber,sobre
Olá!td bem? Sou Anamaria e gostaria de informações de como funcionam os cursos.  Sou de Santos e tenho interesse de frequentar as aulas presenciais.	27	cursos	gostaria,saber,sobre
Quais livros de cabeceira...pra rasgar os véus	28	livros	livro,livros,onde
Consigo comprar o livro Tebas?	28	livros	livro,livros,onde
Como posso comprar este livro?	28	livros	livro,livros,onde
Como posso adquiri o livro......	28	livros	livro,livros,onde
Onde encontro o texto Fenomenos Parapsicologicos da prova DELIA?	28	livros	livro,livros,onde
O livro sobre as almas gêmeas, onde posso comprá-lo ?	28	livros	livro,livros,onde
Se já onde comprar.	28	livros	livro,livros,onde
será q se eu ler o livro vou ter mais facilidade pra entender?	28	livros	livro,livros,onde
Como faço adquirir o livro raízes da violência.	28	livros	livro,livros,onde
Como faço pra adquirir o livro? Como superar	28	livros	livro,livros,onde
Onde compro o livros	28	livros	livro,livros,onde
Compra de livros da editora Polar	28	livros	livro,livros,onde
Preciso de 10 mil seguidores no Instagram para vender meus livros por lá. Me segue lá! @giselegracie  	28	livros	livro,livros,onde
Ver dentro e fora	29	dentro	dentro,ver,conhecer
Conhecer o local dentro e fora	29	dentro	dentro,ver,conhecer
Limites internos	29	dentro	dentro,ver,conhecer
Interior	29	dentro	dentro,ver,conhecer
Criança pode ir à palestra?	30	palestra	palestra,hoje,olá
Olá! tem palestra hoje?	30	palestra	palestra,hoje,olá
Olá! Temos palestra hoje?	30	palestra	palestra,hoje,olá
Haverá palestra hoje presencial	30	palestra	palestra,hoje,olá
Olá! Ainda tem ingresso da obra de HPB?	30	palestra	palestra,hoje,olá
Tem alguma turma começando por agora ?	30	palestra	palestra,hoje,olá
No sábado tem atendimento presencial  ?	30	palestra	palestra,hoje,olá
A palestra de hoje só é para os iniciantes do curso?	30	palestra	palestra,hoje,olá
Tem turmas iniciando no Guará?	30	palestra	palestra,hoje,olá
*Obrigado também* aos *FUNDOS* de *PENSÃO* da *PETROS* e da *CEF*, que *injetaram* mais *3 BILHÕES* de *REAIS* na nossa *humilde companhia.*	31	obrigado	obrigado,fundos,pensão
Para vc também.	31	obrigado	obrigado,fundos,pensão
Para você, também	31	obrigado	obrigado,fundos,pensão
Saúde e força pra você e teus amores. 	31	obrigado	obrigado,fundos,pensão
Turma virtual	32	virtual	virtual,turma,assitente
assitente virtual, q pena, deixa pra la...	32	virtual	virtual,turma,assitente
Vitória ES ou Vila Velha	32	virtual	virtual,turma,assitente
Perfeito,....como é difícil conhecer a nós mesmos....mas estou me observando e tenho certeza....que vou melhor....🙏🌻	33	encontrei	vou,encontrei,perfeito
Já encontrei	33	encontrei	vou,encontrei,perfeito
Já realizei	33	encontrei	vou,encontrei,perfeito
Vou tentar encontrar	33	encontrei	vou,encontrei,perfeito
Consegui	33	encontrei	vou,encontrei,perfeito
Mas estava viajando	33	encontrei	vou,encontrei,perfeito
Que bom ter te encontrado	33	encontrei	vou,encontrei,perfeito
Sou Ramatís Pesquisador Desenvolvimentista	33	encontrei	vou,encontrei,perfeito
penso que encontrei o que eu queria	33	encontrei	vou,encontrei,perfeito
Olá! Helena estou amado os vídeos da professora Lucia Helena	34	helena	helena,sobre,olá
Olá! Estou asistiendo videos de Lucia Helena Galaviz e estou adorando. Cómo posso me aprossimar mas. Sou argentina e sou advogada.	34	helena	helena,sobre,olá
Olá! Eu estava ouvindo a professora ana Maria portando tive que desligar agora não acho mais no YouTube os vídeos dela	34	helena	helena,sobre,olá
Meu nome é Nilo. Tenho 64 anos e resido em Santa Maria (RS). Sou seguidor do canal no YouTube. Atualmente estou acompanhando as palestras da professora Lucia Helena, da qual sou admirador, sobre o livro Caibalion.	34	helena	helena,sobre,olá
Eu sou um fã de Luciana Helena. 	34	helena	helena,sobre,olá
Helena, nós, serguianos, ficaríamos honrados com a Sua apresentação e explicação de nossa doutrina. Confira, por favor! Forte abraço!	34	helena	helena,sobre,olá
Amo você Lúcia Helena,  um dia quero ter a honra de participar de uma palestra sua	34	helena	helena,sobre,olá
Ontem recebi de uma amiga esta preciosidade que ê seu video sobre Saint--Exupéry. Belíssimo! Igualmente belíssima é sua fala, seu sorriso, sua luz!	34	helena	helena,sobre,olá
quero o video completo sobre generosidade	34	helena	helena,sobre,olá
9- cursos com a Profa Lúcia Helena	34	helena	helena,sobre,olá
Sou Élia , adoro a prof Lúcia Helena e todas as palestras	34	helena	helena,sobre,olá
Conheço um pouco através do YouTube e assisto as palestras de Lúcia Helena	34	helena	helena,sobre,olá
Olá Helena! A agradeço o texto sobre o SOL. Tenha uma boa 3a feira com Saúde é Paz! Renatta	34	helena	helena,sobre,olá
Meu nome é Eliana; já faz algum tempo tempo que acompanho as palestras da nova acrópole(via youtube)...principalmente da Lucia Helena!	34	helena	helena,sobre,olá
